familia;indice_fam;subposicion_1;subposicion_2;subposicion_3;subposicion_4;energia
1;1;0;0;0;1;1.2901211
1;2;0;0;1;0;1.2901211
1;3;1;0;0;0;1.2901211
1;4;0;1;0;0;1.2901211
2;1;0;0;0;2;0.0606045
2;2;0;0;2;0;0.0606045
2;3;2;0;0;0;0.0606045
2;4;0;2;0;0;0.0606045
3;1;0;0;0;3;1.146497
3;2;0;0;3;0;1.146497
3;3;3;0;0;0;1.146497
3;4;0;3;0;0;1.146497
4;1;0;0;0;4;2.6404064
4;2;0;0;4;0;2.6404064
4;3;4;0;0;0;2.6404064
4;4;0;4;0;0;2.6404064
5;1;0;0;0;5;4.0071102
5;2;0;0;5;0;4.0071102
5;3;5;0;0;0;4.0071102
5;4;0;5;0;0;4.0071102
6;1;0;0;1;2;3.0106935
6;2;0;0;2;1;3.0106935
6;3;2;1;0;0;3.0106935
6;4;1;2;0;0;3.0106935
7;1;0;0;1;3;2.0553875
7;2;0;0;3;1;2.0553875
7;3;3;1;0;0;2.0553875
7;4;1;3;0;0;2.0553875
8;1;0;0;1;4;4.468386
8;2;0;0;4;1;4.468386
8;3;4;1;0;0;4.468386
8;4;1;4;0;0;4.468386
9;1;0;0;1;5;6.7266701
9;2;0;0;5;1;6.7266701
9;3;5;1;0;0;6.7266701
9;4;1;5;0;0;6.7266701
10;1;0;0;2;3;0.6983428
10;2;0;0;3;2;0.6983428
10;3;3;2;0;0;0.6983428
10;4;2;3;0;0;0.6983428
11;1;0;0;2;4;3.8583167
11;2;0;0;4;2;3.8583167
11;3;4;2;0;0;3.8583167
11;4;2;4;0;0;3.8583167
12;1;0;0;2;5;5.2569038
12;2;0;0;5;2;5.2569038
12;3;5;2;0;0;5.2569038
12;4;2;5;0;0;5.2569038
13;1;0;0;3;4;3.8940447
13;2;0;0;4;3;3.8940447
13;3;4;3;0;0;3.8940447
13;4;3;4;0;0;3.8940447
14;1;0;0;3;5;4.4974041
14;2;0;0;5;3;4.4974041
14;3;5;3;0;0;4.4974041
14;4;3;5;0;0;4.4974041
15;1;0;0;4;5;6.3389403
15;2;0;0;5;4;6.3389403
15;3;5;4;0;0;6.3389403
15;4;4;5;0;0;6.3389403
16;1;0;1;0;2;2.047929
16;2;1;0;2;0;2.047929
16;3;2;0;1;0;2.047929
16;4;0;2;0;1;2.047929
17;1;0;1;0;3;2.5008008
