familia;indice_fam;subposicion_1;subposicion_2;subposicion_3;subposicion_4;energia
1;1;0;0;0;1;1.2901211
1;2;0;0;1;0;1.2901211
1;3;1;0;0;0;1.2901211
1;4;0;1;0;0;1.2901211
2;1;0;0;0;2;0.0606045
2;2;0;0;2;0;0.0606045
2;3;2;0;0;0;0.0606045
2;4;0;2;0;0;0.0606045
3;1;0;0;0;3;1.146497
3;2;0;0;3;0;1.146497
3;3;3;0;0;0;1.146497
3;4;0;3;0;0;1.146497
4;1;0;0;0;4;2.6404064
4;2;0;0;4;0;2.6404064
4;3;4;0;0;0;2.6404064
4;4;0;4;0;0;2.6404064
5;1;0;0;0;5;4.0071102
5;2;0;0;5;0;4.0071102
5;3;5;0;0;0;4.0071102
5;4;0;5;0;0;4.0071102
6;1;0;0;1;2;1.3507255999999999
6;2;0;0;2;1;1.3507255999999999
6;3;2;1;0;0;1.3507255999999999
6;4;1;2;0;0;1.3507255999999999
7;1;0;0;1;3;2.4366181
7;2;0;0;3;1;2.4366181
7;3;3;1;0;0;2.4366181
7;4;1;3;0;0;2.4366181
8;1;0;0;1;4;3.9305274999999997
8;2;0;0;4;1;3.9305274999999997
8;3;4;1;0;0;3.9305274999999997
8;4;1;4;0;0;3.9305274999999997
9;1;0;0;1;5;5.2972313
9;2;0;0;5;1;5.2972313
9;3;5;1;0;0;5.2972313
9;4;1;5;0;0;5.2972313
10;1;0;0;2;3;1.2071015
10;2;0;0;3;2;1.2071015
10;3;3;2;0;0;1.2071015
10;4;2;3;0;0;1.2071015
11;1;0;0;2;4;2.7010109
11;2;0;0;4;2;2.7010109
11;3;4;2;0;0;2.7010109
11;4;2;4;0;0;2.7010109
12;1;0;0;2;5;4.0677147
12;2;0;0;5;2;4.0677147
12;3;5;2;0;0;4.0677147
12;4;2;5;0;0;4.0677147
13;1;0;0;3;4;3.7869034
13;2;0;0;4;3;3.7869034
13;3;4;3;0;0;3.7869034
13;4;3;4;0;0;3.7869034
14;1;0;0;3;5;5.1536072
14;2;0;0;5;3;5.1536072
14;3;5;3;0;0;5.1536072
14;4;3;5;0;0;5.1536072
15;1;0;0;4;5;6.647516599999999
15;2;0;0;5;4;6.647516599999999
15;3;5;4;0;0;6.647516599999999
15;4;4;5;0;0;6.647516599999999
16;1;0;1;0;2;1.3507255999999999
16;2;1;0;2;0;1.3507255999999999
