índice;subs posición 1;subs posición 2;subs posición 3;subs posición 4;Energia
1;0;0;0;1;1.290121177
2;0;0;0;2;0.06060458
3;0;0;0;3;1.146497095
4;0;0;0;4;2.640406425
5;0;0;0;5;4.00711021
6;0;0;1;2;3.010693548
7;0;0;1;3;2.055387548
8;0;0;1;4;4.468386088
9;0;0;1;5;6.72667011
10;0;0;2;3;0.69834287
11;0;0;2;4;3.858316782
12;0;0;2;5;5.256903843
13;0;0;3;4;3.89404475
14;0;0;3;5;4.497404198
15;0;0;4;5;6.33894037
16;0;1;0;2;2.047929083
17;0;1;0;3;2.500800852
18;0;1;0;4;4.385527223
19;0;1;0;5;6.34633232
20;0;1;1;1;6.161766373
21;0;1;1;2;3.911919088
22;0;1;1;3;3.11088208
23;0;1;1;4;5.931941988
24;0;1;1;5;7.991241995
25;0;1;2;2;3.509189587
26;0;1;2;3;1.286057487
27;0;1;2;4;4.859412713
28;0;1;2;5;6.15366221
29;0;1;3;3;4.667725895
30;0;1;3;4;6.133577817
31;0;1;3;5;7.590257572
32;0;1;4;4;8.364444482
33;0;1;4;5;9.015259245
34;0;1;5;5;1.464586885
35;0;2;0;3;1.172858997
36;0;2;0;4;2.907874535
37;0;2;0;5;4.419375828
38;0;2;1;2;3.26091482
39;0;2;1;3;1.28290932
40;0;2;1;4;4.968762745
41;0;2;1;5;5.7329335
42;0;2;2;2;0.251243473
43;0;2;2;3;-0.70920489
44;0;2;2;4;2.754487807
45;0;2;2;5;3.605930635
46;0;2;3;3;2.82891621
47;0;2;3;4;4.5503972
48;0;2;3;5;5.00956405
49;0;2;4;4;4.574637525
50;0;2;4;5;4.839608185
51;0;2;5;5;-2.293623565
52;0;3;0;4;3.893897915
53;0;3;0;5;5.64728979
54;0;3;1;3;4.213865813
55;0;3;1;4;6.629108293
56;0;3;1;5;8.95578103
57;0;3;2;3;2.379825128
58;0;3;2;4;5.817592663
59;0;3;2;5;7.050892458
60;0;3;3;3;3.203296515
61;0;3;3;4;4.693806677
62;0;3;3;5;5.692557012
63;0;3;4;4;5.54313483
64;0;3;4;5;6.217448213
